,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
3246,BLAT ECOLX 2013,iDCT2,esm2_150M,2,25,0.2465390972137391,1.429396281279066,1.7068269064856665,0.5143234219885036,0.1626846270658068,1.4785212085588475,1.7249731749516195,0.3627117326172233,989,Other,286
3247,BLAT ECOLX 2013,iDCT2,esm2_150M,3,28,0.2164581128381537,1.443896507053792,1.7184904686255027,0.4715944842163042,0.168913796189316,1.5498107780127763,1.8150779669766337,0.5065854849299483,989,Other,286
3248,BLAT ECOLX 2013,iDCT2,esm2_150M,4,36,0.285858877252933,1.3386374890358017,1.6107727522290705,0.5232678072484219,0.1543832620880549,1.5792896261141272,1.943056564631012,0.4846904191860152,989,Other,286
3249,BLAT ECOLX 2013,iDCT2,esm2_150M,5,25,0.2113140215183349,1.4917818537418346,1.7619583729465176,0.4942783164324253,0.1390651093147007,1.4282910701356046,1.682435409830087,0.3017622060094034,989,Other,286
3250,POLG Sun2014,rbf1,esm2_150M,1,16,0.1737242701587227,0.3046303022937669,0.364372228028718,0.5152483278528981,0.1603777448558865,0.3176189961354058,0.3761145321497781,0.5177310261281641,1716,Viral replication,3033
3251,POLG Sun2014,rbf1,esm2_150M,2,20,0.1800846003019788,0.3077485869244795,0.3652024485687876,0.5250853148244881,0.162420321239939,0.3023320131471166,0.3667120884526554,0.4907188403325441,1716,Viral replication,3033
3252,POLG Sun2014,rbf1,esm2_150M,3,23,0.1966641491357772,0.3046802255302777,0.3637950736241812,0.5373343522750493,0.1649564515904761,0.2989068639817518,0.3556287153201511,0.454544601329394,1716,Viral replication,3033
3253,POLG Sun2014,rbf1,esm2_150M,4,17,0.1653678400786258,0.3098986075771249,0.3692787886125507,0.5056709307345456,0.1757369851657567,0.309568939066196,0.3605950866387695,0.5301161438638338,1716,Viral replication,3033
3254,POLG Sun2014,rbf1,esm2_150M,5,23,0.2127267452943195,0.2942461224569024,0.3546448972481805,0.5433583491978778,0.1687368783731685,0.3113932052389088,0.3777899358350792,0.4879268277636294,1716,Viral replication,3033
3255,RL401 2014,pca1,esm2_150M,1,99,0.6431853118460498,0.1784308672698948,0.245875881450566,0.7221192603096641,0.558156705451329,0.1963246463234001,0.2536704585961798,0.655879703077768,1435,Other,128
3256,RL401 2014,pca1,esm2_150M,2,141,0.7178713624823259,0.1573020744962351,0.2175443627678138,0.7443600606670502,0.5708316123222215,0.1775991696181613,0.2551109698336778,0.6553258967646202,1435,Other,128
3257,RL401 2014,pca1,esm2_150M,3,97,0.6178073488045157,0.1847967461987239,0.2515973314782391,0.6963567756110727,0.5498339222629892,0.1974300425476313,0.2692714996692056,0.7055149626333443,1435,Other,128
3258,RL401 2014,pca1,esm2_150M,4,96,0.6480739663218927,0.1728781651541954,0.236635370301574,0.7186688718324464,0.5161426323639149,0.2105436447169307,0.3007796491036674,0.7002290670144898,1435,Other,128
3259,RL401 2014,pca1,esm2_150M,5,70,0.548354908094399,0.2011454200838085,0.2701216665911244,0.6842284849702702,0.5415916128603013,0.2132273382343066,0.2843943764382301,0.6804949044358634,1435,Other,128
3260,parEparD all,iDCT5,esm2_150M,1,356,0.7709867163591337,0.0383179319343522,0.0687958189229474,0.4147840004858757,0.705716207356482,0.0398738982409513,0.0699085200881239,0.3919306196462626,9193,Growth,93
3261,parEparD all,iDCT5,esm2_150M,2,262,0.7207286232835773,0.0397014582024692,0.0728284012082894,0.4205291772585849,0.7177319933241824,0.0432644667283065,0.0810648884857648,0.4419279553022375,9193,Growth,93
3262,parEparD all,iDCT5,esm2_150M,3,311,0.7484664695126668,0.0391508353339867,0.0704263291844223,0.4290197900138661,0.7521901604036256,0.0395806628159768,0.0711074100490486,0.3523125420197301,9193,Growth,93
3263,parEparD all,iDCT5,esm2_150M,4,488,0.8189661852437402,0.0360984460299823,0.0611291015390594,0.3932562956719044,0.7216039533948402,0.0382230845665046,0.0681728871289222,0.4299312499064496,9193,Growth,93
3264,parEparD all,iDCT5,esm2_150M,5,295,0.740409139747956,0.0392258069988023,0.0707042027415959,0.4230369984432239,0.7348364093728743,0.0420585845516489,0.0767972936595253,0.4206505680041936,9193,Growth,93
3265,PA FLU,iDCT5,esm2_150M,1,37,0.1985939586301737,0.3182798600854882,0.4730841429816663,0.5177880732462301,0.1734399791209496,0.3321305626519742,0.4606413035118773,0.4732369692516853,2363,Viral replication,716
3266,PA FLU,iDCT5,esm2_150M,2,28,0.1867856692597945,0.3282126563219538,0.4850869204091868,0.5160264872338114,0.1842683393510772,0.3109964747267165,0.4179304859520357,0.4227556388959574,2363,Viral replication,716
3267,PA FLU,iDCT5,esm2_150M,3,28,0.1670614183843888,0.3299193287717353,0.4892578595660299,0.4846112551383603,0.2477019208407757,0.310448603293556,0.4107198386780829,0.5077062982269858,2363,Viral replication,716
3268,PA FLU,iDCT5,esm2_150M,4,26,0.2001483268045908,0.318080700234928,0.4507804292412681,0.508467567211207,0.1481920412356017,0.342565447606717,0.5518707986165126,0.4692252058586544,2363,Viral replication,716
3269,PA FLU,iDCT5,esm2_150M,5,31,0.2058435770524168,0.3169203233200592,0.4574445323876063,0.5096493064929,0.1197520322690187,0.3391787125874094,0.5285326462897034,0.4650687379930984,2363,Viral replication,716
3270,UBC9 HUMAN,bos,esm2_150M,1,131,0.3508048072587831,0.3123059231401353,0.4049846871827078,0.6471990715029069,0.2624362644070318,0.3356551287420357,0.4245504751038645,0.5588550154136299,2721,Growth,158
3271,UBC9 HUMAN,bos,esm2_150M,2,98,0.3104937264530083,0.3250508362955142,0.4174068574832063,0.6091739030821887,0.2351560066286762,0.3345645088637163,0.4320067035700773,0.5498441310161163,2721,Growth,158
